                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.59392,                 0.5923,                 1.0556,                0.93587,                0.86594,                0.93548,                0.75006,                0.75275,                0.55942,                 0.9344,             0.00057688,             0.00057688,             0.00057688
                    118,                0.59801,                0.59403,                 1.0599,                0.93409,                0.87296,                0.92907,                0.75144,                0.75815,                 0.5804,                0.93318,              0.0005645,              0.0005645,              0.0005645
                    119,                0.59909,                0.58542,                 1.0642,                0.94532,                0.87702,                0.93494,                0.75118,                0.79584,                0.57175,                0.95407,             0.00055213,             0.00055213,             0.00055213
                    120,                0.59347,                0.58749,                 1.0628,                0.96382,                0.86957,                 0.9392,                0.75344,                0.77516,                 0.5799,                0.95496,             0.00053975,             0.00053975,             0.00053975
                    121,                0.58886,                0.57651,                 1.0627,                0.95819,                0.86232,                 0.9378,                0.74812,                0.79439,                0.56441,                0.95523,             0.00052737,             0.00052737,             0.00052737
                    122,                0.57955,                0.57963,                 1.0469,                0.95391,                0.87319,                0.94159,                0.75013,                0.75371,                0.53787,                0.93472,               0.000515,               0.000515,               0.000515
                    123,                 0.5805,                0.57076,                 1.0553,                 0.9645,                0.86232,                0.94067,                0.76022,                 0.7361,                0.52575,                0.92234,             0.00050263,             0.00050263,             0.00050263
                    124,                0.57137,                0.54304,                 1.0475,                0.96332,                0.85629,                0.94291,                0.75053,                0.76267,                0.54155,                0.94074,             0.00049025,             0.00049025,             0.00049025
                    125,                0.57606,                0.55714,                 1.0468,                0.90105,                0.90942,                0.94139,                0.75891,                0.75905,                0.52576,                0.93993,             0.00047787,             0.00047787,             0.00047787
                    126,                0.57171,                0.56513,                 1.0473,                0.94833,                0.86443,                0.93888,                0.75827,                0.76096,                0.56086,                0.94187,              0.0004655,              0.0004655,              0.0004655
                    127,                0.56308,                0.55464,                 1.0442,                 0.9677,                0.87681,                0.94546,                0.75548,                0.72998,                0.52817,                0.92878,             0.00045313,             0.00045313,             0.00045313
                    128,                0.56237,                0.54287,                 1.0365,                0.96377,                 0.8675,                   0.94,                0.76244,                0.73698,                0.53944,                0.93353,             0.00044075,             0.00044075,             0.00044075
                    129,                0.55899,                0.55631,                 1.0446,                0.95536,                0.85507,                0.93892,                0.75977,                0.72712,                0.55161,                  0.924,             0.00042838,             0.00042838,             0.00042838
                    130,                0.55854,                0.54427,                 1.0376,                0.96017,                0.87332,                0.94059,                0.75763,                0.73548,                0.54664,                0.91903,               0.000416,               0.000416,               0.000416
                    131,                0.56082,                0.54574,                 1.0444,                0.95749,                0.85507,                0.94097,                0.76039,                0.71753,                0.55008,                0.91705,             0.00040362,             0.00040362,             0.00040362
                    132,                0.55199,                 0.5358,                  1.033,                0.93829,                0.88146,                0.94249,                0.74913,                 0.7593,                0.55251,                0.94706,             0.00039125,             0.00039125,             0.00039125
                    133,                0.56001,                0.54537,                 1.0418,                0.96378,                0.86759,                0.93986,                 0.7549,                0.75231,                0.54549,                0.94075,             0.00037888,             0.00037888,             0.00037888
                    134,                0.56026,                0.54189,                 1.0331,                0.97502,                0.84848,                0.93964,                 0.7548,                0.75898,                0.53809,                0.94851,              0.0003665,              0.0003665,              0.0003665
